"director_facebook_likes","cast_total_facebook_likes","num_voted_users","num_user_for_reviews","imdb_score","movie_facebook_likes","Revenue","Budget","profit","response"
147,64798,272670,1022,8.2,72000,1152721930,250000000,902721930,1
144,49684,148379,622,7.3,54000,543368024,178000000,365368024,1
123,5505,111609,781,7.3,89000,433537548,160000000,273537548,1
91,4807,27198,131,4.6,8000,50163103,4000000,46163103,1
136,36188,496749,742,7.8,55000,714766572,170000000,544766572,1
123,11287,118992,971,6.9,80000,490998335,175000000,315998335,1
129,23031,40862,139,6.9,15000,331411972,90000000,241411972,1
183,24450,371639,3018,6.9,197000,872662631,250000000,622662631,1
107,14569,33354,110,6.6,10000,113768303,50000000,63768303,1
120,40025,552503,1588,8.1,191000,378436354,150000000,228436354,1
124,8458,418214,1290,7,150000,1513528810,150000000,1363528810,1
169,31488,928227,2725,8.6,349000,621752480,165000000,456752480,1
108,18239,479047,1058,8.1,117000,778617348,58000000,720617348,1
140,79150,278232,657,7.2,94000,1506249360,190000000,1316249360,1
124,19761,508818,679,6.9,46000,370569774,140000000,230569774,1
123,81385,305008,591,6.7,52000,752100229,125000000,627100229,1
87,4782,24407,155,6.8,36000,342472030,75000000,267472030,1
97,24350,27130,126,6.3,14000,346450645,73000000,273450645,1
91,13616,142403,275,6.4,70000,1156730962,74000000,1082730962,1
120,46719,37750,134,6.1,16000,164602163,115000000,49602163,1
151,14831,472488,1023,8.1,153000,595380321,108000000,487380321,1
149,4348,569841,1127,8.1,146000,369330363,61000000,308330363,1
114,20295,467613,608,8.1,165000,233555708,14000000,219555708,1
121,32438,682155,1097,8.1,96000,773312399,170000000,603312399,1
113,1783,310903,524,6.8,38000,348319861,34000000,314319861,1
134,2676,64989,279,7.8,40000,315816419,40000000,275816419,1
106,35367,89770,342,5.6,39000,243637091,88000000,155637091,1
114,16718,147497,499,6.1,52000,470490832,110000000,360490832,1
123,13752,40123,297,7.1,31000,254351812,120000000,134351812,1
125,13312,447979,629,7.3,105000,117698894,75000000,42698894,1
156,57108,406020,1188,8.1,190000,532925985,135000000,397925985,1
164,9152,354228,802,7.5,65000,955119788,250000000,705119788,1
137,81385,166137,383,6.6,38000,639827109,160000000,479827109,1
148,11700,275868,994,6.8,85000,880674609,245000000,635674609,1
130,5046,128306,497,6.5,37000,209035668,190000000,19035668,1
102,2963,279093,433,7.9,41000,652105443,165000000,487105443,1
124,16881,147128,277,7.5,44000,91709827,30000000,61709827,1
117,5730,313866,549,7.4,61000,518178306,130000000,388178306,1
148,81115,1468200,2803,8.8,175000,825500000,160000000,665500000,1
152,57802,1676169,4667,9,37000,1001921825,185000000,816921825,1
141,92000,462669,1117,7.5,118000,1405035767,250000000,1155035767,1
120,23051,172965,627,6.9,67000,102069268,49000000,53069268,1
128,59558,980946,2685,8.3,15000,374218673,150000000,224218673,1
149,91434,514125,752,8,82000,7.46e+08,250000000,4.96e+08,1
146,49355,498397,706,7.6,82000,847423452,130000000,717423452,1
132,37605,229574,436,7.2,56000,192330738,55000000,137330738,1
125,30010,117739,229,6.4,30000,215863606,68000000,147863606,1
89,32325,327367,918,6.4,83000,463360063,40000000,423360063,1
95,2944,345198,773,8.3,118000,857427711,175000000,682427711,1
171,22342,1238746,5060,8.8,21000,871368364,93000000,778368364,1
98,10894,19611,103,6.7,0,41008532,27000000,14008532,1
187,49912,272839,1018,7.9,114000,155760117,44000000,111760117,1
114,16992,76010,205,6.6,15000,71561644,50000000,21561644,1
107,26495,399138,731,8.5,129000,13993092,3300000,10693092,1
95,36095,64322,145,7.2,24000,519881355,145000000,374881355,1
164,106759,1144337,2701,8.5,164000,1081041287,250000000,831041287,1
96,2635,665575,704,8.3,27000,731342744,175000000,556342744,1
178,4834,886204,3054,7.9,33000,2781505847,237000000,2544505847,1
133,10565,249688,548,7.8,93000,305151265,12000000,293151265,1
118,2499,161288,351,8.3,72000,35401758,6000000,29401758,1
129,4585,220020,1360,4.1,101000,569651467,40000000,529651467,1
