ID,director_facebook_likes,cast_total_facebook_likes,num_voted_users,num_user_for_reviews,imdb_score,movie_facebook_likes,Revenue,Budget,profit,response
1,147,64798,272670,1022,8.2,72000,1152721930,250000000,902721930,Profit
2,144,49684,148379,622,7.3,54000,543368024,178000000,365368024,Profit
3,123,5505,111609,781,7.3,89000,433537548,160000000,273537548,Profit
4,91,4807,27198,131,4.6,8000,50163103,4000000,46163103,Profit
5,136,36188,496749,742,7.8,55000,714766572,170000000,544766572,Profit
6,123,11287,118992,971,6.9,80000,490998335,175000000,315998335,Profit
7,129,23031,40862,139,6.9,15000,331411972,90000000,241411972,Profit
8,183,24450,371639,3018,6.9,197000,872662631,250000000,622662631,Profit
9,107,14569,33354,110,6.6,10000,113768303,50000000,63768303,Profit
10,120,40025,552503,1588,8.1,191000,378436354,150000000,228436354,Profit
11,124,8458,418214,1290,7,150000,1513528810,150000000,1363528810,Profit
12,169,31488,928227,2725,8.6,349000,621752480,165000000,456752480,Profit
13,108,18239,479047,1058,8.1,117000,778617348,58000000,720617348,Profit
14,140,79150,278232,657,7.2,94000,1506249360,190000000,1316249360,Profit
15,124,19761,508818,679,6.9,46000,370569774,140000000,230569774,Profit
16,123,81385,305008,591,6.7,52000,752100229,125000000,627100229,Profit
17,87,4782,24407,155,6.8,36000,342472030,75000000,267472030,Profit
18,97,24350,27130,126,6.3,14000,346450645,73000000,273450645,Profit
19,91,13616,142403,275,6.4,70000,1156730962,74000000,1082730962,Profit
20,120,46719,37750,134,6.1,16000,164602163,115000000,49602163,Profit
21,151,14831,472488,1023,8.1,153000,595380321,108000000,487380321,Profit
22,149,4348,569841,1127,8.1,146000,369330363,61000000,308330363,Profit
23,114,20295,467613,608,8.1,165000,233555708,14000000,219555708,Profit
24,121,32438,682155,1097,8.1,96000,773312399,170000000,603312399,Profit
25,113,1783,310903,524,6.8,38000,348319861,34000000,314319861,Profit
26,134,2676,64989,279,7.8,40000,315816419,40000000,275816419,Profit
27,106,35367,89770,342,5.6,39000,243637091,88000000,155637091,Profit
28,114,16718,147497,499,6.1,52000,470490832,110000000,360490832,Profit
29,123,13752,40123,297,7.1,31000,254351812,120000000,134351812,Profit
30,125,13312,447979,629,7.3,105000,117698894,75000000,42698894,Profit
31,156,57108,406020,1188,8.1,190000,532925985,135000000,397925985,Profit
32,164,9152,354228,802,7.5,65000,955119788,250000000,705119788,Profit
33,137,81385,166137,383,6.6,38000,639827109,160000000,479827109,Profit
34,148,11700,275868,994,6.8,85000,880674609,245000000,635674609,Profit
35,130,5046,128306,497,6.5,37000,209035668,190000000,19035668,Profit
36,102,2963,279093,433,7.9,41000,652105443,165000000,487105443,Profit
37,124,16881,147128,277,7.5,44000,91709827,30000000,61709827,Profit
38,117,5730,313866,549,7.4,61000,518178306,130000000,388178306,Profit
39,148,81115,1468200,2803,8.8,175000,825500000,160000000,665500000,Profit
40,152,57802,1676169,4667,9,37000,1001921825,185000000,816921825,Profit
41,141,92000,462669,1117,7.5,118000,1405035767,250000000,1155035767,Profit
42,120,23051,172965,627,6.9,67000,102069268,49000000,53069268,Profit
43,128,59558,980946,2685,8.3,15000,374218673,150000000,224218673,Profit
44,149,91434,514125,752,8,82000,7.46E+08,250000000,4.96E+08,Profit
45,146,49355,498397,706,7.6,82000,847423452,130000000,717423452,Profit
46,132,37605,229574,436,7.2,56000,192330738,55000000,137330738,Profit
47,125,30010,117739,229,6.4,30000,215863606,68000000,147863606,Profit
48,89,32325,327367,918,6.4,83000,463360063,40000000,423360063,Profit
49,95,2944,345198,773,8.3,118000,857427711,175000000,682427711,Profit
50,171,22342,1238746,5060,8.8,21000,871368364,93000000,778368364,Profit
51,98,10894,19611,103,6.7,0,41008532,27000000,14008532,Profit
52,187,49912,272839,1018,7.9,114000,155760117,44000000,111760117,Profit
53,114,16992,76010,205,6.6,15000,71561644,50000000,21561644,Profit
54,107,26495,399138,731,8.5,129000,13993092,3300000,10693092,Profit
55,95,36095,64322,145,7.2,24000,519881355,145000000,374881355,Profit
56,164,106759,1144337,2701,8.5,164000,1081041287,250000000,831041287,Profit
57,96,2635,665575,704,8.3,27000,731342744,175000000,556342744,Profit
58,178,4834,886204,3054,7.9,33000,2781505847,237000000,2544505847,Profit
59,133,10565,249688,548,7.8,93000,305151265,12000000,293151265,Profit
60,118,2499,161288,351,8.3,72000,35401758,6000000,29401758,Profit
61,129,4585,220020,1360,4.1,101000,569651467,40000000,529651467,Profit
62,139,22226,341058,713,6.7,49000,288747895,85000000,203747895,Profit
63,114,15428,87950,207,6.5,15000,53181600,28000000,25181600,Profit
64,109,24063,49671,166,6,11000,94073028,11500000,82573028,Profit
65,112,9049,300110,807,7.5,131000,318000141,13000000,305000141,Profit
66,240,46057,780588,1138,8.2,138000,392000694,100000000,292000694,Profit
67,165,3988,242420,918,5.7,56000,245500000,210000000,35500000,Profit
68,112,59803,414070,532,7.1,63000,479765000,170000000,309765000,Profit
69,136,18563,1217752,3646,8.7,25000,463517383,63000000,400517383,Profit
70,143,48184,809474,2113,8.1,10000,655011224,140000000,515011224,Profit
71,172,23052,1100446,2417,8.7,10000,926287400,79000000,847287400,Profit
72,103,6807,92364,244,6.5,15000,108782847,9000000,99782847,Profit
73,115,13159,97697,185,6.5,40000,286633264,29000000,257633264,Profit
74,121,1467,196217,461,7.6,59000,84025816,30000000,54025816,Profit
75,126,19769,51892,273,5.5,24000,143055748,140000000,3055748,Profit
76,110,4882,39440,83,6.1,15000,1.12E+08,38000000,7.40E+07,Profit
77,117,15554,293304,552,7.9,65000,38697217,8500000,30197217,Profit
78,133,16277,325264,916,7.3,112000,542307423,58800000,483507423,Profit
79,142,15700,1251222,1398,8.8,59000,677945399,55000000,622945399,Profit
80,99,20276,69484,323,5.9,28000,195725584,60000000,135725584,Profit
81,89,5056,31915,159,4.4,18000,102529779,5000000,97529779,Profit
82,73,6458,644348,656,8.5,17000,788241776,45000000,743241776,Profit
83,98,53587,67223,126,6.2,11000,349424282,127000000,222424282,Profit
84,141,30183,136973,275,7.4,47000,83719388,50000000,33719388,Profit
85,192,6434,1215718,3189,8.9,16000,1118888979,94000000,1024888979,Profit
86,153,2829,744891,983,8.5,13000,5.20E+08,100000000,4.20E+08,Profit
87,116,15735,175960,360,7.3,43000,108145109,75000000,33145109,Profit
88,128,23996,477300,621,7.6,20000,524028679,90000000,434028679,Profit
