0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Captain America: Civil War (2016),Status Released,Original Language English,Runtime 2h 26m,"Budget $250,000,000.00","Revenue $1,152,721,930.00",Homepage http://marvel.com/captainamericapremiere,Release Information,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan,Anthony Mackie,Jeremy Renner,Full Cast & Crew,
X-Men: Apocalypse (2016),Status Released,Original Language English,Runtime 2h 24m,"Budget $178,000,000.00","Revenue $543,368,024.00",Homepage http://www.foxmovies.com/movies/x-men-apocalypse,Release Information,James McAvoy,Jennifer Lawrence,Michael Fassbender,Oscar Isaac,Nicholas Hoult,Tye Sheridan,Full Cast & Crew,
Mechanic: Resurrection (2016),Status Released,Original Language English,Runtime 1h 39m,"Budget $40,000,000.00",Revenue -,Homepage -,Release Information,Jason Statham,Jessica Alba,Tommy Lee Jones,Michelle Yeoh,Natalie Burn,Yayaying Rhatha Phongam,Full Cast & Crew,
Warcraft (2016),Status Released,Original Language English,Runtime 2h 3m,"Budget $160,000,000.00","Revenue $433,537,548.00",Homepage http://www.warcraft-themovie.com/,Release Information,Paula Patton,Travis Fimmel,Ben Foster,Robert Kazinsky,Dominic Cooper,Toby Kebbell,Full Cast & Crew,
The Boy Next Door (2015),Status Released,Original Language English,Runtime 1h 31m,"Budget $4,000,000.00","Revenue $50,163,103.00",Homepage http://www.theboynextdoorfilm.com/,Release Information,Jennifer Lopez,Ryan Guzman,Ian Nelson,John Corbett,Kristin Chenoweth,Hill Harper,Full Cast & Crew,
The Shallows (2016),Status Released,Original Language English,Runtime 1h 26m,"Budget $17,000,000.00",Revenue -,Homepage http://www.theshallows-movie.com,Release Information,Blake Lively,Óscar Jaenada,Brett Cullen,Sedona Legge,Janelle Bailey,Chelsea Moody,Full Cast & Crew,
Captain America: The Winter Soldier (2014),Status Released,Original Language English,Runtime 2h 16m,"Budget $170,000,000.00","Revenue $714,766,572.00",Homepage http://www.captainamericathewintersoldiermovie.com,Release Information,Chris Evans,Scarlett Johansson,Sebastian Stan,Samuel L. Jackson,Robert Redford,Anthony Mackie,Full Cast & Crew,
Don't Breathe (2016),Status Released,Original Language English,Runtime 1h 28m,"Budget $9,000,000.00",Revenue -,Homepage -,Release Information,Dylan Minnette,Jane Levy,Daniel Zovatto,Sergej Onopko,Stephen Lang,Emma Bercovici,Full Cast & Crew,
Suicide Squad (2016),Status Released,Original Language English,Runtime 2h 10m,"Budget $175,000,000.00","Revenue $490,998,335.00",Homepage http://www.suicidesquad.com/,Release Information,Will Smith,Margot Robbie,Joel Kinnaman,Viola Davis,Cara Delevingne,Jared Leto,Full Cast & Crew,
Now You See Me 2 (2016),Status Released,Original Language English,Runtime 2h 9m,"Budget $90,000,000.00","Revenue $331,411,972.00",Homepage http://nowyouseeme.movie,Release Information,Jesse Eisenberg,Woody Harrelson,Mark Ruffalo,Dave Franco,Morgan Freeman,Michael Caine,Full Cast & Crew,
Batman v Superman: Dawn of Justice (2016),Status Released,Original Language English,Runtime 2h 31m,"Budget $250,000,000.00","Revenue $872,662,631.00",Homepage http://www.batmanvsupermandawnofjustice.com/,Release Information,Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg,Diane Lane,Laurence Fishburne,Full Cast & Crew,
Sully (2016),Status Released,Original Language English,Runtime 1h 36m,"Budget $60,000,000.00",Revenue -,Homepage http://www.sully-movie.com/#home,Release Information,Tom Hanks,Aaron Eckhart,Laura Linney,Anna Gunn,Autumn Reeser,Holt McCallany,Full Cast & Crew,
Central Intelligence (2016),Status Released,Original Language English,Runtime 1h 47m,"Budget $50,000,000.00","Revenue $113,768,303.00",Homepage http://www.centralintelligencemovie.com/,Release Information,Dwayne Johnson,Kevin Hart,Amy Ryan,Aaron Paul,Danielle Nicolet,Ryan Hansen,Full Cast & Crew,
Mad Max: Fury Road (2015),Status Released,Original Language English,Runtime 2h 0m,"Budget $150,000,000.00","Revenue $378,436,354.00",Homepage http://www.madmaxmovie.com/,Release Information,Tom Hardy,Charlize Theron,Hugh Keays-Byrne,Nicholas Hoult,Josh Helman,Rosie Huntington-Whiteley,Full Cast & Crew,
Teenage Mutant Ninja Turtles: Out of the Shadows (2016),Status Released,Original Language English,Runtime 1h 52m,"Budget $135,000,000.00",Revenue -,Homepage http://www.teenagemutantninjaturtlesmovie.com/,Release Information,Megan Fox,Stephen Amell,Will Arnett,Laura Linney,Pete Ploszek,Alan Ritchson,Full Cast & Crew,
Jurassic World (2015),Status Released,Original Language English,Runtime 2h 4m,"Budget $150,000,000.00","Revenue $1,513,528,810.00",Homepage http://www.jurassicworld.com/,Release Information,Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio,Omar Sy,Nick Robinson,Full Cast & Crew,
The Jungle Book (2016),Status Released,Original Language English,Runtime 1h 46m,"Budget $175,000,000.00","Revenue $961,252,240.00",Homepage http://movies.disney.com/the-jungle-book-2016,Release Information,Neel Sethi,Bill Murray,Ben Kingsley,Idris Elba,Scarlett Johansson,Christopher Walken,Full Cast & Crew,
Teenage Mutant Ninja Turtles (2014),Status Released,Original Language English,Runtime 1h 41m,"Budget $125,000,000.00","Revenue $477,200,000.00",Homepage http://www.teenagemutantninjaturtlesmovie.com,Release Information,Megan Fox,Will Arnett,William Fichtner,Alan Ritchson,Noel Fisher,Pete Ploszek,Full Cast & Crew,
Interstellar (2014),Status Released,Original Language English,Runtime 2h 49m,"Budget $165,000,000.00","Revenue $621,752,480.00",Homepage http://www.interstellarmovie.net/,Release Information,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Michael Caine,Casey Affleck,Mackenzie Foy,Full Cast & Crew,
Deadpool (2016),Status Released,Original Language English,Runtime 1h 48m,"Budget $58,000,000.00","Revenue $778,617,348.00",Homepage http://www.foxmovies.com/movies/deadpool,Release Information,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,Stefan Kapičić,Brianna Hildebrand,Full Cast & Crew,
Furious 7 (2015),Status Released,Original Language English,Runtime 2h 17m,"Budget $190,000,000.00","Revenue $1,506,249,360.00",Homepage http://www.furious7.com/,Release Information,Vin Diesel,Paul Walker,Jason Statham,Michelle Rodriguez,Dwayne Johnson,Jordana Brewster,Full Cast & Crew,
Captain America: The First Avenger (2011),Status Released,Original Language English,Runtime 2h 4m,"Budget $140,000,000.00","Revenue $370,569,774.00",Homepage http://captainamerica.marvel.com/,Release Information,Chris Evans,Hugo Weaving,Tommy Lee Jones,Hayley Atwell,Sebastian Stan,Dominic Cooper,Full Cast & Crew,
Zootopia (2016),Status Released,Original Language English,Runtime 1h 48m,"Budget $150,000,000.00","Revenue $1,016,556,108.00",Homepage http://movies.disney.com/zootopia,Release Information,Ginnifer Goodwin,Jason Bateman,Shakira,Idris Elba,Octavia Spencer,J.K. Simmons,Full Cast & Crew,
The Hunger Games: Mockingjay - Part 1 (2014),Status Released,Original Language English,Runtime 2h 3m,"Budget $125,000,000.00","Revenue $752,100,229.00",Homepage http://www.thehungergames.movie/,Release Information,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Donald Sutherland,Philip Seymour Hoffman,Full Cast & Crew,
The Secret Life of Pets (2016),Status Released,Original Language English,Runtime 1h 27m,"Budget $75,000,000.00","Revenue $342,472,030.00",Homepage http://www.thesecretlifeofpets.com/,Release Information,Louis C.K.,Eric Stonestreet,Kevin Hart,Jenny Slate,Lake Bell,Bobby Moynihan,Full Cast & Crew,
