Title,Studio,Total Gross,Total Theaters,Opening,Opening Theaters,open
#Horror,IFC,n/a,n/a,n/a,n/a,11/20/2015
$9.99,Reg.,"$52,384",4,$478,1,12/12/2008
$upercapitalist,Truly,"$15,919",1,"$8,372",1,8/10/2012
(500) Days of Summer,FoxS,"$32,391,374","1,048","$834,501",27,7/17/2009
(Untitled),Gold.,"$230,600",25,"$18,002",3,10/23/2009
...And Justice for All,Col.,"$33,300,000",n/a,n/a,n/a,10/19/1979
1 Mile Above,AR,n/a,n/a,n/a,n/a,6/7/2013
1+1=11,Eros,"$132,498",18,"$92,342",18,3/28/2003
"1,000 Times Good Night",FM,"$53,895",24,"$24,120",24,10/24/2014
10,WB,"$74,865,517",n/a,"$3,526,692",706,10/5/1979
10 Cloverfield Lane,Par.,"$72,082,998","3,427","$24,727,437","3,391",3/11/2016
10 Days in a Madhouse,CafeP,"$14,616",10,"$4,773",1,11/11/2015
10 Items or Less,Think,"$83,291",15,"$35,929",15,12/1/2006
10 Questions for the Dalai Lama,Mont.,"$224,546",11,n/a,n/a,4/27/2007
10 Rules for Sleeping Around,Scre.,n/a,n/a,n/a,n/a,4/4/2014
10 Things I Hate About You,BV,"$38,178,166","2,311","$8,330,681","2,271",3/31/1999
10 to Midnight,MGM,"$7,175,592",595,"$3,050,225",595,3/11/1983
10 Years,Anch.,"$203,373",63,"$22,707",3,9/14/2012
"10,000 B.C.",WB,"$94,784,201","3,454","$35,867,488","3,410",3/7/2008
"10,000 Km",BG,"$12,423",11,"$8,941",11,7/10/2015
100 Bloody Acres,DR,"$6,388",13,"$3,419",13,6/28/2013
The 100-Year Old Man Who Climbed Out the Window and Disappeared,MBox,"$944,193",76,n/a,n/a,5/1/2015
1001 Grams,KL,"$10,983",1,n/a,n/a,5/8/2015
101 Dalmatians,Dis.,"$14,000,000*",n/a,n/a,n/a,1/25/1961
101 Dalmatians (1996),BV,"$136,189,294","2,901","$33,504,025","2,794",11/27/1996
101 Dalmatians (Re-issue) (1969),Dis.,"$18,000,000*",n/a,n/a,n/a,1/1/1969
101 Dalmatians (Re-issue) (1979),Dis.,"$19,000,000*",n/a,n/a,n/a,1/1/1979
101 Dalmatians (Re-issue) (1985),BV,"$33,049,729*","1,185","$2,389,226","1,097",12/20/1985
101 Dalmatians (Re-issue) (1991),BV,"$60,830,285*","1,825","$10,279,044","1,777",7/12/1991
101 Reykjavik,Men.,"$126,404",2,"$14,656",2,7/27/2001
102 Dalmatians,BV,"$66,957,026","2,704","$19,883,351","2,704",11/22/2000
10th & Wolf,Think,"$54,702",6,"$20,774",6,8/18/2006
11 Flowers,FRun,"$9,213",2,"$3,516",2,2/22/2013
