title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low
2016,Chris Evans,1,1,0,0,2016,Robert Downey Jr.,2,1,0,0,2016,Scarlett Johansson,3,1,0,0,2016,Sebastian Stan,4,1,0,0,2016,Anthony Mackie,5,1,0,0,2016,Jeremy Renner,6,1,0,0
2016,James McAvoy,1,1,0,0,2016,Jennifer Lawrence,2,1,0,0,2016,Michael Fassbender,3,1,0,0,2016,Oscar Isaac,4,1,0,0,2016,Nicholas Hoult,5,1,0,0,2016,Tye Sheridan,6,1,0,0
2016,Jason Statham,1,1,0,0,2016,Jessica Alba,2,1,0,0,2016,Tommy Lee Jones,3,1,0,0,2016,Michelle Yeoh,4,1,0,0,2016,Natalie Burn,5,1,0,0,2016,Yayaying Rhatha Phongam,6,1,0,0
2016,Paula Patton,1,1,0,0,2016,Travis Fimmel,2,1,0,0,2016,Ben Foster,3,1,0,0,2016,Robert Kazinsky,4,1,0,0,2016,Dominic Cooper,5,1,0,0,2016,Toby Kebbell,6,1,0,0
2015,Jennifer Lopez,1.5,0,1,0,2015,Ryan Guzman,3,0,1,0,2015,Ian Nelson,4.5,0,1,0,2015,John Corbett,6,0,1,0,2015,Kristin Chenoweth,7.5,0,1,0,2015,Hill Harper,9,0,1,0
2016,Blake Lively,1.5,0,1,0,2016,ÌÒscar Jaenada,3,0,1,0,2016,Brett Cullen,4.5,0,1,0,2016,Sedona Legge,6,0,1,0,2016,Janelle Bailey,7.5,0,1,0,2016,Chelsea Moody,9,0,1,0
2014,Chris Evans,1,1,0,0,2014,Scarlett Johansson,2,1,0,0,2014,Sebastian Stan,3,1,0,0,2014,Samuel L. Jackson,4,1,0,0,2014,Robert Redford,5,1,0,0,2014,Anthony Mackie,6,1,0,0
2016,Dylan Minnette,1.5,0,1,0,2016,Jane Levy,3,0,1,0,2016,Daniel Zovatto,4.5,0,1,0,2016,Sergej Onopko,6,0,1,0,2016,Stephen Lang,7.5,0,1,0,2016,Emma Bercovici,9,0,1,0
2016,Will Smith,1,1,0,0,2016,Margot Robbie,2,1,0,0,2016,Joel Kinnaman,3,1,0,0,2016,Viola Davis,4,1,0,0,2016,Cara Delevingne,5,1,0,0,2016,Jared Leto,6,1,0,0
2016,Jesse Eisenberg,1,1,0,0,2016,Woody Harrelson,2,1,0,0,2016,Mark Ruffalo,3,1,0,0,2016,Dave Franco,4,1,0,0,2016,Morgan Freeman,5,1,0,0,2016,Michael Caine,6,1,0,0
