Movie Name,Status,Language,Runtime,Budget,Revenue,8,9,10,11,12,13,14
Captain America: Civil War (2016),Released,English,2h 26m,"$250,000,000.00","$1,152,721,930.00",Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan,Anthony Mackie,Jeremy Renner,Full Cast & Crew
X-Men: Apocalypse (2016),Released,English,2h 24m,"$178,000,000.00","$543,368,024.00",James McAvoy,Jennifer Lawrence,Michael Fassbender,Oscar Isaac,Nicholas Hoult,Tye Sheridan,Full Cast & Crew
Mechanic: Resurrection (2016),Released,English,1h 39m,"$40,000,000.00",-,Jason Statham,Jessica Alba,Tommy Lee Jones,Michelle Yeoh,Natalie Burn,Yayaying Rhatha Phongam,Full Cast & Crew
Warcraft (2016),Released,English,2h 3m,"$160,000,000.00","$433,537,548.00",Paula Patton,Travis Fimmel,Ben Foster,Robert Kazinsky,Dominic Cooper,Toby Kebbell,Full Cast & Crew
The Boy Next Door (2015),Released,English,1h 31m,"$4,000,000.00","$50,163,103.00",Jennifer Lopez,Ryan Guzman,Ian Nelson,John Corbett,Kristin Chenoweth,Hill Harper,Full Cast & Crew
The Shallows (2016),Released,English,1h 26m,"$17,000,000.00",-,Blake Lively,ÌÒscar Jaenada,Brett Cullen,Sedona Legge,Janelle Bailey,Chelsea Moody,Full Cast & Crew
Captain America: The Winter Soldier (2014),Released,English,2h 16m,"$170,000,000.00","$714,766,572.00",Chris Evans,Scarlett Johansson,Sebastian Stan,Samuel L. Jackson,Robert Redford,Anthony Mackie,Full Cast & Crew
Don't Breathe (2016),Released,English,1h 28m,"$9,000,000.00",-,Dylan Minnette,Jane Levy,Daniel Zovatto,Sergej Onopko,Stephen Lang,Emma Bercovici,Full Cast & Crew
Suicide Squad (2016),Released,English,2h 10m,"$175,000,000.00","$490,998,335.00",Will Smith,Margot Robbie,Joel Kinnaman,Viola Davis,Cara Delevingne,Jared Leto,Full Cast & Crew
Now You See Me 2 (2016),Released,English,2h 9m,"$90,000,000.00","$331,411,972.00",Jesse Eisenberg,Woody Harrelson,Mark Ruffalo,Dave Franco,Morgan Freeman,Michael Caine,Full Cast & Crew
Batman v Superman: Dawn of Justice (2016),Released,English,2h 31m,"$250,000,000.00","$872,662,631.00",Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg,Diane Lane,Laurence Fishburne,Full Cast & Crew
Sully (2016),Released,English,1h 36m,"$60,000,000.00",-,Tom Hanks,Aaron Eckhart,Laura Linney,Anna Gunn,Autumn Reeser,Holt McCallany,Full Cast & Crew
Central Intelligence (2016),Released,English,1h 47m,"$50,000,000.00","$113,768,303.00",Dwayne Johnson,Kevin Hart,Amy Ryan,Aaron Paul,Danielle Nicolet,Ryan Hansen,Full Cast & Crew
Mad Max: Fury Road (2015),Released,English,2h 0m,"$150,000,000.00","$378,436,354.00",Tom Hardy,Charlize Theron,Hugh Keays-Byrne,Nicholas Hoult,Josh Helman,Rosie Huntington-Whiteley,Full Cast & Crew
Teenage Mutant Ninja Turtles: Out of the Shadows (2016),Released,English,1h 52m,"$135,000,000.00",-,Megan Fox,Stephen Amell,Will Arnett,Laura Linney,Pete Ploszek,Alan Ritchson,Full Cast & Crew
Jurassic World (2015),Released,English,2h 4m,"$150,000,000.00","$1,513,528,810.00",Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio,Omar Sy,Nick Robinson,Full Cast & Crew
The Jungle Book (2016),Released,English,1h 46m,"$175,000,000.00","$961,252,240.00",Neel Sethi,Bill Murray,Ben Kingsley,Idris Elba,Scarlett Johansson,Christopher Walken,Full Cast & Crew
Teenage Mutant Ninja Turtles (2014),Released,English,1h 41m,"$125,000,000.00","$477,200,000.00",Megan Fox,Will Arnett,William Fichtner,Alan Ritchson,Noel Fisher,Pete Ploszek,Full Cast & Crew
Interstellar (2014),Released,English,2h 49m,"$165,000,000.00","$621,752,480.00",Matthew McConaughey,Anne Hathaway,Jessica Chastain,Michael Caine,Casey Affleck,Mackenzie Foy,Full Cast & Crew
Deadpool (2016),Released,English,1h 48m,"$58,000,000.00","$778,617,348.00",Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,Stefan Kapi€çi€à,Brianna Hildebrand,Full Cast & Crew
Furious 7 (2015),Released,English,2h 17m,"$190,000,000.00","$1,506,249,360.00",Vin Diesel,Paul Walker,Jason Statham,Michelle Rodriguez,Dwayne Johnson,Jordana Brewster,Full Cast & Crew
Captain America: The First Avenger (2011),Released,English,2h 4m,"$140,000,000.00","$370,569,774.00",Chris Evans,Hugo Weaving,Tommy Lee Jones,Hayley Atwell,Sebastian Stan,Dominic Cooper,Full Cast & Crew
Zootopia (2016),Released,English,1h 48m,"$150,000,000.00","$1,016,556,108.00",Ginnifer Goodwin,Jason Bateman,Shakira,Idris Elba,Octavia Spencer,J.K. Simmons,Full Cast & Crew
The Hunger Games: Mockingjay - Part 1 (2014),Released,English,2h 3m,"$125,000,000.00","$752,100,229.00",Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Donald Sutherland,Philip Seymour Hoffman,Full Cast & Crew
The Secret Life of Pets (2016),Released,English,1h 27m,"$75,000,000.00","$342,472,030.00",Louis C.K.,Eric Stonestreet,Kevin Hart,Jenny Slate,Lake Bell,Bobby Moynihan,Full Cast & Crew
The Angry Birds Movie (2016),Released,English,1h 35m,"$73,000,000.00","$346,450,645.00",Jason Sudeikis,Josh Gad,Danny McBride,Maya Rudolph,Bill Hader,Peter Dinklage,Full Cast & Crew
Minions (2015),Released,English,1h 31m,"$74,000,000.00","$1,156,730,962.00",Sandra Bullock,Jon Hamm,Michael Keaton,Allison Janney,Steve Coogan,Jennifer Saunders,Full Cast & Crew
Insurgent (2015),Released,English,1h 59m,"$110,000,000.00","$295,238,201.00",Shailene Woodley,Theo James,Kate Winslet,Ansel Elgort,Miles Teller,Naomi Watts,Full Cast & Crew
The Huntsman: Winter's War (2016),Released,English,1h 54m,"$115,000,000.00","$164,602,163.00",Chris Hemsworth,Charlize Theron,Emily Blunt,Jessica Chastain,Nick Frost,Sheridan Smith,Full Cast & Crew
Terminator Genisys (2015),Released,English,2h 5m,"$155,000,000.00","$440,603,537.00",Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney,J.K. Simmons,Dayo Okeniyi,Full Cast & Crew
The Martian (2015),Released,English,2h 21m,"$108,000,000.00","$595,380,321.00",Matt Damon,Jessica Chastain,Kristen Wiig,Jeff Daniels,Michael PeÌ±a,Sean Bean,Full Cast & Crew
Gone Girl (2014),Released,English,2h 25m,"$61,000,000.00","$369,330,363.00",Ben Affleck,Rosamund Pike,Tyler Perry,Neil Patrick Harris,Missi Pyle,Patrick Fugit,Full Cast & Crew
The Imitation Game (2014),Released,English,1h 53m,"$14,000,000.00","$233,555,708.00",Benedict Cumberbatch,Keira Knightley,Matthew Goode,Rory Kinnear,Allen Leech,Matthew Beard,Full Cast & Crew
Star Wars: The Force Awakens (2015),Released,English,2h 16m,"$200,000,000.00","$2,068,178,225.00",Daisy Ridley,John Boyega,Adam Driver,Harrison Ford,Carrie Fisher,Oscar Isaac,Full Cast & Crew
Guardians of the Galaxy (2014),Released,English,2h 1m,"$170,000,000.00","$773,312,399.00",Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper,Lee Pace,Full Cast & Crew
The Maze Runner (2014),Released,English,1h 53m,"$34,000,000.00","$348,319,861.00",Dylan O'Brien,Aml Ameen,Ki Hong Lee,Blake Cooper,Thomas Brodie-Sangster,Will Poulter,Full Cast & Crew
Allegiant (2016),Released,English,2h 1m,"$110,000,000.00","$179,246,868.00",Shailene Woodley,Theo James,ZoÌÇ Kravitz,Miles Teller,Naomi Watts,Ansel Elgort,Full Cast & Crew
The Conjuring 2 (2016),Released,English,2h 14m,"$40,000,000.00","$315,816,419.00",Patrick Wilson,Vera Farmiga,Madison Wolfe,Frances O'Connor,Simon McBurney,Maria Doyle Kennedy,Full Cast & Crew
Pixels (2015),Released,English,1h 45m,"$88,000,000.00","$243,637,091.00",Adam Sandler,Michelle Monaghan,Peter Dinklage,Josh Gad,Kevin James,Ashley Benson,Full Cast & Crew
San Andreas (2015),Released,English,1h 54m,"$110,000,000.00","$470,490,832.00",Alexandra Daddario,Dwayne Johnson,Carla Gugino,Archie Panjabi,Hugo Johnstone-Burt,Art Parkinson,Full Cast & Crew
Jason Bourne (2016),Released,English,2h 3m,"$120,000,000.00","$254,351,812.00",Matt Damon,Tommy Lee Jones,Alicia Vikander,Vincent Cassel,Julia Stiles,Riz Ahmed,Full Cast & Crew
Now You See Me (2013),Released,English,1h 55m,"$75,000,000.00","$117,698,894.00",Jesse Eisenberg,Mark Ruffalo,Woody Harrelson,MÌ©lanie Laurent,Isla Fisher,Dave Franco,Full Cast & Crew
Free State of Jones (2016),Released,English,2h 19m,"$65,000,000.00",-,Matthew McConaughey,Gugu Mbatha-Raw,Mahershala Ali,Keri Russell,Jacob Lofland,Sean Bridgers,Full Cast & Crew
Hardcore Henry (2015),Released,English,1h 37m,"$10,000,000.00","$14,333,790.00",Sharlto Copley,Haley Bennett,Danila Kozlovskiy,Tim Roth,Andrei Dementiev,Cyrus Arnold,Full Cast & Crew
The Revenant (2015),Released,English,2h 36m,"$135,000,000.00","$532,925,985.00",Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,Paul Anderson,Brad Carter,Full Cast & Crew
Russian Lolita (2007),Released,Russian,1h 33m,-,-,Valerja Nemchenko,Vladimir Sorokin,Marina Zasimova,Natalia Belova,Armen Oganezov,Diana Sosnova,Full Cast & Crew
The Hobbit: The Battle of the Five Armies (2014),Released,English,2h 24m,"$250,000,000.00","$955,119,788.00",Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott,Graham McTavish,William Kircher,Full Cast & Crew
The Hunger Games: Mockingjay - Part 2 (2015),Released,English,2h 16m,"$160,000,000.00","$639,827,109.00",Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,Julianne Moore,Full Cast & Crew
Spectre (2015),Released,English,2h 28m,"$245,000,000.00","$880,674,609.00",Daniel Craig,Christoph Waltz,LÌ©a Seydoux,Ralph Fiennes,Monica Bellucci,Ben Whishaw,Full Cast & Crew
Tomorrowland (2015),Released,English,2h 10m,"$190,000,000.00","$209,035,668.00",Britt Robertson,George Clooney,Raffey Cassidy,Thomas Robinson,Hugh Laurie,Kathryn Hahn,Full Cast & Crew
Big Hero 6 (2014),Released,English,1h 42m,"$165,000,000.00","$652,105,443.00",Scott Adsit,Ryan Potter,Daniel Henney,T.J. Miller,Jamie Chung,Damon Wayans Jr.,Full Cast & Crew
Southpaw (2015),Released,English,2h 3m,"$30,000,000.00","$91,709,827.00",Jake Gyllenhaal,Rachel McAdams,Forest Whitaker,Oona Laurence,50 Cent,Skylan Brooks,Full Cast & Crew
Maze Runner: The Scorch Trials (2015),Released,English,2h 12m,"$61,000,000.00","$311,256,926.00",Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Giancarlo Esposito,Aidan Gillen,Barry Pepper,Full Cast & Crew
