0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Gangster's Paradise: Jerusalema (2008),Original Title Jerusalema,Status Released,Original Language English,Runtime 2h 0m,Budget -,Revenue -,Homepage -,Release Information,Daniel Buckland,Robert Hobbs,Rapulana Seiphemo,Jeffrey Zekele,Ronnie Nyakale,Shelley Meskin,Full Cast & Crew
Daydream Nation (2010),Status Released,Original Language English,Runtime 1h 38m,Budget -,Revenue -,Homepage -,Release Information,Kat Dennings,Reece Thompson,Josh Lucas,Andie MacDowell,Rachel Blanchard,Natasha Calis,Full Cast & Crew,
Black Dawn (2005),Status Released,Original Language English,Runtime 1h 36m,"Budget $16,000,000.00",Revenue -,Homepage -,Release Information,Steven Seagal,Tamara Davies,John Pyper-Ferguson,Julian Stone,Nicholas Davidoff,Roman Varshavsky,Full Cast & Crew,
Bootleggers (1962),Original Title Samogonshchiki,Status Released,Original Language Russian,Runtime 0h 19m,Budget -,Revenue -,Homepage http://cinema.mosfilm.ru/films/film/1960-1969/samogonshiki/,Release Information,Yuriy Nikulin,Georgiy Vitsin,Yevgeni Morgunov,Vladimir Pitsek,Full Cast & Crew,,
Leap Year (2010),Original Title Año bisiesto,Status Released,Original Language English,Runtime 1h 34m,Budget -,Revenue -,Homepage -,Release Information,Mónica del Carmen,Armando Hernández,José Juan Meraz,Gustavo Sánchez Parra,Full Cast & Crew,,
The Cry of the Owl (2009),Status Released,Original Language English,Runtime 1h 41m,"Budget $11,500,000.00",Revenue -,Homepage http://www.ctvint.fr/pages/fiche.asp?id=3583,Release Information,Paddy Considine,Julia Stiles,Caroline Dhavernas,James Gilbert,Karl Pruner,Krista Bridges,Full Cast & Crew,
The Hills Run Red (2009),Status Released,Original Language English,Runtime 1h 21m,Budget -,Revenue -,Homepage http://www.hillsrunred.com/,Release Information,Sophie Monk,William Sadler,Tad Hilgenbrink,Janet Montgomery,Mike Straub,Alex Wyndham,Full Cast & Crew,
The TV Set (2006),Status Released,Original Language English,Runtime 1h 27m,"Budget $2,000,000.00","Revenue $265,198.00",Homepage -,Release Information,David Duchovny,Sigourney Weaver,Ioan Gruffudd,Judy Greer,Fran Kranz,Lindsay Sloane,Full Cast & Crew,
The Phenom (2016),Status Released,Original Language English,Runtime 1h 28m,Budget -,Revenue -,Homepage -,Release Information,Johnny Simmons,Paul Giamatti,Ethan Hawke,Alison Elliott,Yul Vazquez,Sophie Kennedy Clark,Full Cast & Crew,
The Dark Side of the Moon (2016),Original Title Die dunkle Seite des Mondes,Status Released,Original Language German,Runtime 1h 37m,Budget -,Revenue -,Homepage -,Release Information,Jürgen Prochnow,Moritz Bleibtreu,Nora von Waldstätten,Luc Feit,Yves Robert Schaaf,Ian T. Dickinson,Full Cast & Crew
The Art of War II: Betrayal (2008),Status Released,Original Language English,Runtime 1h 43m,Budget -,Revenue -,Homepage -,Release Information,Wesley Snipes,Lochlyn Munro,Lisa Marie Caruk,Pascale Hutton,Full Cast & Crew,,,
Saint Tropez - Saint Tropez (1992),Status Released,Original Language Italian,Runtime -,Budget -,Revenue -,Homepage -,Release Information,Jerry Calà,Serena Grandi,Demetra Hampton,Maurizio Micheli,Alba Parietti,Matteo Ripaldi,Full Cast & Crew,
Nightwatching (2007),Status Released,Original Language English,Runtime 2h 15m,Budget -,Revenue -,Homepage -,Release Information,Martin Freeman,Emily Holmes,Michael Teigen,Christopher Britton,Agata Buzek,Gerard Plunkett,Full Cast & Crew,
Aftershock: Earthquake in New York (1999),Status Released,Original Language English,Runtime 2h 50m,Budget -,Revenue -,Homepage -,Release Information,Tom Skerritt,Sharon Lawrence,Charles S. Dutton,Lisa Nicole Carson,Jennifer Garner,Rachel Ticotin,Full Cast & Crew,
The Suspect (2013),Status Released,Original Language English,Runtime 1h 29m,Budget -,Revenue -,Homepage http://thesuspectmovie.com/,Release Information,Mekhi Phifer,William Sadler,Derek Roché,James McCaffrey,Rebecca Creskoff,Bernadette Quigley,Full Cast & Crew,
Ant-Man and the Wasp (2018),Original Title Ant-Man,Status Planned,Original Language English,Runtime -,Budget -,Revenue -,Homepage -,Release Information,Paul Rudd,Evangeline Lilly,Sharon Stone,Full Cast & Crew,,,
Savage Streets (1984),Status Released,Original Language English,Runtime 1h 32m,Budget -,Revenue -,Homepage -,Release Information,Linda Blair,John Vernon,Robert Dryer,Johnny Venocur,Sal Landi,Scott Mayer,Full Cast & Crew,
Heaven on Earth (2015),Original Title Så ock på jorden,Status Released,Original Language Swedish,Runtime 2h 14m,Budget -,Revenue -,Homepage -,Release Information,Frida Hallgren,Jakob Oftebro,Lennart Jähkel,Niklas Falk,Maria Sid,Ylva Lööf,Full Cast & Crew
Denial (2016),Status Post Production,Original Language English,Runtime -,Budget -,Revenue -,Homepage -,Release Information,Rachel Weisz,Andrew Scott,Timothy Spall,Tom Wilkinson,Mark Gatiss,Harriet Walter,Full Cast & Crew,
Results (2015),Status Released,Original Language English,Runtime 1h 45m,Budget -,"Revenue $104,507.00",Homepage -,Release Information,Cobie Smulders,Guy Pearce,Kevin Corrigan,Giovanni Ribisi,Brooklyn Decker,Anthony Michael Hall,Full Cast & Crew,
About Alex (2014),Status Released,Original Language English,Runtime 1h 36m,Budget -,Revenue -,Homepage -,Release Information,Aubrey Plaza,Max Greenfield,Max Minghella,Jason Ritter,Nate Parker,Maggie Grace,Full Cast & Crew,
Make It Happen (2008),Status Released,Original Language English,Runtime 1h 30m,Budget -,Revenue -,Homepage -,Release Information,Mary Elizabeth Winstead,Riley Smith,John Reardon,Tessa Thompson,Ashley Roberts,Julissa Bermudez,Full Cast & Crew,
Beautiful Lies (2010),Original Title De vrais mensonges,Status Released,Original Language French,Runtime 1h 45m,Budget -,Revenue -,Homepage http://www.devraismensonges-lefilm.com/,Release Information,Audrey Tautou,Sami Bouajila,Nathalie Baye,Stéphanie Lagarde,Judith Chemla,Daniel Duval,Full Cast & Crew
The Cowboys (1972),Status Released,Original Language English,Runtime 2h 11m,Budget -,"Revenue $7,500,000.00",Homepage -,Release Information,John Wayne,Roscoe Lee Browne,Bruce Dern,Colleen Dewhurst,Alfred Barker Jr.,Nicolas Beauvy,Full Cast & Crew,
Craving Desire (1993),Original Title Graffiante desiderio,Status Released,Original Language Italian,Runtime 1h 41m,Budget -,Revenue -,Homepage -,Release Information,Vittoria Belvedere,Ron Nummi,Serena Grandi,Andrea Roncato,Simona Borioni,Riccardo Parisio Perrotti,Full Cast & Crew
Port of Shadows (1938),Original Title Le Quai des brumes,Status Released,Original Language English,Runtime 1h 31m,Budget -,Revenue -,Homepage -,Release Information,Jean Gabin,Michel Simon,Michèle Morgan,Pierre Brasseur,Édouard Delmont,Robert Le Vigan,Full Cast & Crew
Kara Bela (2015),Status Released,Original Language Turkish,Runtime -,Budget -,Revenue -,Homepage -,Release Information,Cengiz Bozkurt,Seda Bakan,Sadi Celil Cengiz,Benian Dönmez,Cihan Ercan,Hasibe EREN,Full Cast & Crew,
A Man Called Horse (1970),Status Released,Original Language English,Runtime 1h 54m,Budget -,Revenue -,Homepage -,Release Information,Richard Harris,Judith Anderson,Jean Gascon,Manu Tupou,Corinna Tsopei,Dub Taylor,Full Cast & Crew,
Air Mater (2011),Status Released,Original Language English,Runtime 0h 6m,Budget -,Revenue -,Homepage -,Release Information,Larry the Cable Guy,Stacy Keach,Keith Ferguson,Jonathan Adams,Jan Rabson,Lori Alan,Full Cast & Crew,
Raw (2016),Original Title Grave,Status Released,Original Language French,Runtime 1h 35m,Budget -,Revenue -,Homepage -,Release Information,Garance Marillier,Ella Rumpf,Rabah Nait Oufella,Laurent Lucas,Joana Preiss,Bouli Lanners,Full Cast & Crew
Gangs of Wasseypur (2012),Status Released,Original Language Hindi,Runtime 2h 41m,"Budget $1,400,000.00","Revenue $4,100,000.00",Homepage -,Release Information,Manoj Bajpayee,Richa Chadda,Tigmanshu Dhulia,Nawazuddin Siddiqui,Reema Sen,Huma Qureshi,Full Cast & Crew,
Laura's Star (2004),Original Title Lauras Stern,Status Released,Original Language English,Runtime 1h 15m,Budget -,Revenue -,Homepage -,Release Information,Céline Vogt,Sandro Iannotta,Maximilian Artajo,Brit Gülland,Heinrich Schafmeister,Mirco Nontschew,Full Cast & Crew
Big Big World (2016),Original Title Koca Dünya,Status Released,Original Language Turkish,Runtime 1h 40m,Budget -,Revenue -,Homepage -,Release Information,Saygın Soysal,Hakan Çimenser,Ayta Sözeri,Murat Deniz,Melisa Akman,Ecem Uzun,Full Cast & Crew
Angels in the Outfield (1994),Status Released,Original Language English,Runtime 1h 42m,Budget -,"Revenue $50,236,831.00",Homepage -,Release Information,Danny Glover,Brenda Fricker,Joseph Gordon-Levitt,Christopher Lloyd,Tony Danza,Ben Johnson,Full Cast & Crew,
In Too Deep (1999),Status Released,Original Language English,Runtime 1h 37m,"Budget $7,000,000.00","Revenue $14,011,454.00",Homepage -,Release Information,Omar Epps,LL Cool J,Nia Long,Stanley Tucci,Hill Harper,Jake Weber,Full Cast & Crew,
Rammstein in Amerika (Konzert) (2015),Status Released,Original Language German,Runtime 4h 4m,Budget -,Revenue -,Homepage -,Release Information,Till Lindemann,Richard Zven Kruspe,Paul H. Landers,Oliver Riedel,Christoph Schneider,Christian Lorenz,Full Cast & Crew,
Mr. Six (2015),Original Title 老炮儿,Status Released,Original Language Mandarin,Runtime 2h 14m,Budget -,Revenue -,Homepage -,Release Information,Feng Xiaogang,Hanyu Zhang,Yifeng Li,Wu Yifan,Xu Qing,Liu Hua,Full Cast & Crew
Water Lilies (2007),Original Title Naissance des pieuvres,Status Released,Original Language French,Runtime 1h 25m,Budget -,Revenue -,Homepage -,Release Information,Pauline Acquart,Louise Blachère,Adèle Haenel,Warren Jacquin,Christel Baras,Marie Gili-Pierre,Full Cast & Crew
Pennies from Heaven (1981),Status Released,Original Language English,Runtime 1h 48m,"Budget $22,000,000.00","Revenue $9,171,289.00",Homepage -,Release Information,Steve Martin,Bernadette Peters,Jessica Harper,Vernel Bagneris,John McMartin,John Karlen,Full Cast & Crew,
The Lady from Shanghai (1947),Status Released,Original Language English,Runtime 1h 27m,"Budget $2,300,000.00",Revenue -,Homepage -,Release Information,Rita Hayworth,Orson Welles,Everett Sloane,Glenn Anders,Ted de Corsia,Erskine Sanford,Full Cast & Crew,
Bone Dry (2007),Status Released,Original Language English,Runtime 1h 40m,"Budget $5,000,000.00",Revenue -,Homepage -,Release Information,Luke Goss,Lance Henriksen,Tommy Lister,Jennifer Siebel Newsom,Dee Wallace,Full Cast & Crew,,
Chip an' Dale (1947),Status Released,Original Language English,Runtime 0h 7m,Budget -,Revenue -,Homepage -,Release Information,Clarence Nash,Dessie Flynn,James MacDonald,Full Cast & Crew,,,,
Slacker Uprising (2007),Status Released,Original Language English,Runtime 1h 42m,Budget -,Revenue -,Homepage -,Release Information,Michael Moore,Eddie Vedder,Robert Ellis Orrall,Steve Earle,Celeste Zappala,Eric Blickenstaff,Full Cast & Crew,
I Hate Valentine's Day (2009),Status Released,Original Language English,Runtime 1h 38m,Budget -,Revenue -,Homepage http://www.ifcfilms.com/films/i-hate-valentines-day,Release Information,Nia Vardalos,John Corbett,Jason Mantzoukas,Judah Friedlander,Zoe Kazan,Full Cast & Crew,,
