YEAR,Average of Budget,Average of Revenue
1915.00,110000.00,10000000.00
1921.00,250000.00,2500000.00
1925.00,923000.00,2500000.00
1927.00,92620000.00,650422.00
1931.00,715333.33,4343790.00
1932.00,700000.00,2594000.00
1933.00,763093.33,6643333.33
1935.00,1279500.00,3831000.00
1936.00,1193000.00,5550000.00
1937.00,1488423.00,184925486.00
1938.00,1000000.00,5000000.00
1939.00,2114674.80,85939529.40
1940.00,2042000.00,42835863.75
1941.00,1045345.40,9335911.80
1942.00,1050666.67,97136550.00
1944.00,973631.00,2250000.00
1945.00,1351251.75,4971596.50
1946.00,2426666.67,12750000.00
1948.00,2144333.33,2556237.33
1949.00,3000000.00,11500000.00
1950.00,1575500.00,16825295.00
1951.00,2128991.00,119310000.00
1952.00,1645400.00,4864672.50
1953.00,2642857.14,19492162.14
1954.00,1842687.57,15655164.86
1955.00,1371333.33,5179333.33
1956.00,5031428.57,24180000.00
1957.00,2022500.00,11375000.00
1958.00,2601600.00,17409493.00
1959.00,5700000.40,35855000.60
1960.00,3492991.33,22834166.67
1961.00,3137700.00,33652084.30
1962.00,13279333.33,33606697.00
1963.00,8859285.71,25293615.71
1964.00,3906895.13,41349550.63
1965.00,8566666.67,81069197.83
1966.00,5324000.00,15174351.29
1967.00,17961538.46,98794537.31
1968.00,5675111.11,24636511.56
1969.00,5711021.75,57426769.00
1970.00,8718358.73,49997451.73
1971.00,3141833.33,31086243.00
1972.00,2504425.40,60204417.10
1973.00,4979727.27,98519372.64
1974.00,6460384.62,55397463.62
1975.00,4300000.00,105038408.75
1976.00,7535262.50,46914046.00
1977.00,8090588.24,109641205.00
1978.00,8045007.59,68215351.88
1979.00,14147222.22,70401722.39
1980.00,14067391.30,57216550.61
1981.00,10819444.44,49355337.19
1982.00,14183333.33,88958205.08
1983.00,15677400.00,66039303.47
1984.00,13386511.32,56637274.68
1985.00,13693832.55,57532972.21
1986.00,12982983.53,49274731.53
1987.00,13160000.13,57795269.06
1988.00,14293157.89,54596028.65
1989.00,18666469.65,85385351.31
1990.00,23710019.13,82806990.17
1991.00,25199090.91,78753466.22
1992.00,21816733.93,86909019.52
1993.00,22558951.85,86736747.79
1994.00,28472296.88,102585408.84
1995.00,32026455.82,100504849.11
1996.00,34989060.86,92103524.87
1997.00,43068856.22,115488697.58
1998.00,43592584.27,105252549.01
1999.00,42518279.65,101419078.99
2000.00,44777522.94,101319817.61
2001.00,42636662.38,108440763.42
2002.00,41044295.73,110574332.53
2003.00,44059891.96,118494882.96
2004.00,43358824.19,109986737.67
2005.00,40768502.66,96220527.13
2006.00,37894725.68,87100424.83
2007.00,39384502.90,104127898.54
2008.00,40963509.83,106331570.25
2009.00,40301245.04,115028399.15
2010.00,43423745.41,111308916.51
2011.00,39249103.35,110981556.63
2012.00,42582235.14,134200497.65
2013.00,44204533.29,126595538.62
2014.00,41642067.61,135403794.77
2015.00,42177171.70,152875655.70
2016.00,58895023.74,189123819.62
